scorer,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4
bodyparts,left_knee,left_knee,left_knee,Tail_tip,Tail_tip,Tail_tip,nose,nose,nose,center,center,center,left_ear,left_ear,left_ear,skull_base,skull_base,skull_base,tail_base,tail_base,tail_base,right_knee,right_knee,right_knee,right_ear,right_ear,right_ear,left_knee,left_knee,left_knee,Tail_tip,Tail_tip,Tail_tip,nose,nose,nose,center,center,center,left_ear,left_ear,left_ear,skull_base,skull_base,skull_base,tail_base,tail_base,tail_base,right_knee,right_knee,right_knee,right_ear,right_ear,right_ear,left_knee,left_knee,left_knee,Tail_tip,Tail_tip,Tail_tip,nose,nose,nose,center,center,center,left_ear,left_ear,left_ear,skull_base,skull_base,skull_base,tail_base,tail_base,tail_base,right_knee,right_knee,right_knee,right_ear,right_ear,right_ear,left_knee,left_knee,left_knee,Tail_tip,Tail_tip,Tail_tip,nose,nose,nose,center,center,center,left_ear,left_ear,left_ear,skull_base,skull_base,skull_base,tail_base,tail_base,tail_base,right_knee,right_knee,right_knee,right_ear,right_ear,right_ear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,0.0,,,0.0,118.415,238.344,0.9890000224113464,144.328,214.953,1.0,,,0.0,,,0.0,,,0.0,137.194,212.417,1.0,,,0.0,153.702,218.57,1.0,204.361,163.788,1.0,166.312,234.984,1.0,171.448,210.87,1.0,165.628,226.595,1.0,165.201,220.402,1.0,176.954,180.251,1.0,166.424,192.191,1.0,162.676,222.083,1.0,695.857,174.836,1.0,673.468,151.723,1.0,,,0.0,705.12,180.325,1.0,712.696,171.72,0.9860000014305115,710.58,174.612,0.9929999709129333,692.115,189.064,1.0,703.252,189.702,1.0,717.708,178.167,0.5809999704360962,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0.0,,,0.0,118.417,238.309,0.9900000095367432,144.256,214.82,1.0,,,0.0,,,0.0,147.58,203.002,1.0,137.072,212.291,1.0,,,0.0,153.628,218.535,1.0,204.288,163.781,1.0,166.4,234.976,1.0,171.404,210.761,1.0,165.604,226.677,1.0,165.264,220.491,1.0,176.99,180.286,1.0,166.444,192.256,1.0,163.46,227.499,1.0,695.84,174.839,1.0,673.477,151.723,1.0,,,0.0,705.121,180.334,1.0,712.679,171.716,0.9869999885559082,710.559,174.623,0.9929999709129333,692.111,189.056,1.0,703.254,189.707,1.0,717.705,178.153,0.5830000042915344,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,152.243,218.272,1.0,206.45,163.09,1.0,119.841,243.903,1.0,142.92,214.688,1.0,125.624,243.418,1.0,163.594,228.645,1.0,147.116,204.241,1.0,136.322,213.161,1.0,124.816,235.707,1.0,,,0.0,162.819,189.448,0.7789999842643738,171.831,233.782,1.0,173.02,195.045,1.0,171.844,228.858,1.0,,,0.0,179.502,179.4,1.0,167.999,188.423,1.0,164.825,230.193,1.0,696.117,174.377,1.0,673.417,151.788,1.0,,,0.0,704.582,179.969,1.0,712.482,171.894,0.9810000061988831,710.3,174.686,0.9940000176429749,689.72,193.411,1.0,703.095,189.521,1.0,717.528,178.473,0.5649999976158142,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,0.0,,,0.0,121.43,257.836,1.0,145.951,229.345,1.0,125.688,253.73,1.0,124.183,248.688,1.0,,,0.0,138.034,225.908,0.9990000128746033,123.85,249.776,1.0,146.072,237.266,1.0,,,0.0,167.791,174.21,1.0,177.697,203.697,1.0,164.857,181.635,1.0,172.659,180.932,1.0,166.726,213.81,1.0,185.055,204.697,1.0,175.281,175.857,1.0,695.999,175.096,1.0,673.328,151.655,1.0,,,0.0,704.929,180.638,1.0,712.566,172.018,0.9869999885559082,710.401,174.815,0.9940000176429749,691.757,189.448,1.0,702.858,190.06,1.0,717.655,178.595,0.640999972820282,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.0,,,0.0,121.432,257.845,1.0,145.938,229.336,1.0,125.68,253.74,1.0,124.179,248.694,1.0,,,0.0,138.028,225.899,0.9990000128746033,123.841,249.793,1.0,146.071,237.263,1.0,,,0.0,167.818,174.209,1.0,177.686,203.688,1.0,164.891,181.584,1.0,172.687,180.885,1.0,166.734,213.804,1.0,185.075,204.698,1.0,175.286,175.852,1.0,696.003,175.121,1.0,673.327,151.644,1.0,,,0.0,704.939,180.667,1.0,712.53,172.004,0.9869999885559082,710.377,174.787,0.9940000176429749,691.748,189.463,1.0,702.875,190.092,1.0,717.653,178.593,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,145.277,244.428,1.0,,,0.0,122.914,263.344,1.0,140.161,240.005,1.0,126.569,256.134,1.0,125.267,254.248,1.0,,,0.0,138.98,227.45,0.9990000128746033,124.979,254.945,1.0,172.177,200.993,1.0,,,0.0,167.45,171.565,1.0,176.335,196.695,1.0,164.554,180.299,1.0,171.314,179.404,1.0,174.157,208.124,1.0,188.319,188.466,1.0,173.928,172.337,1.0,695.949,175.044,1.0,673.315,151.661,1.0,,,0.0,704.905,180.68,1.0,712.556,172.005,0.9869999885559082,710.42,174.798,0.9940000176429749,691.673,189.41,1.0,702.832,190.064,1.0,717.643,178.586,0.6330000162124634,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,139.877,230.738,1.0,,,0.0,135.0,272.074,1.0,142.106,237.872,1.0,135.597,261.436,1.0,135.226,256.592,1.0,132.185,236.906,1.0,142.345,238.458,1.0,129.012,260.999,1.0,174.71,190.84,1.0,,,0.0,157.273,166.896,1.0,182.27,186.323,1.0,163.244,173.595,1.0,163.336,174.948,1.0,188.193,199.483,1.0,191.633,185.227,1.0,167.556,168.457,1.0,695.169,175.008,1.0,673.453,151.432,1.0,,,0.0,703.947,180.307,1.0,714.127,171.848,0.9980000257492065,711.285,175.681,0.9990000128746033,691.326,189.2,1.0,702.007,189.569,1.0,717.075,178.403,0.9670000076293945,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,140.391,230.96,1.0,,,0.0,140.582,269.94,1.0,142.221,239.238,1.0,140.665,264.255,1.0,136.99,261.187,1.0,131.733,238.08,1.0,140.808,243.621,1.0,134.639,264.484,1.0,174.252,188.724,1.0,,,0.0,155.392,168.36,1.0,184.995,181.759,1.0,158.444,170.337,1.0,165.366,167.271,1.0,190.604,194.104,1.0,191.658,176.216,1.0,165.67,167.703,1.0,696.107,174.418,1.0,673.471,151.41,1.0,,,0.0,704.075,180.559,1.0,713.972,171.809,0.996999979019165,711.227,175.556,0.9990000128746033,689.488,192.955,1.0,702.16,189.831,1.0,717.231,178.457,0.9419999718666077,,,0.0,,,0.0,173.272,226.305,1.0,,,0.0,165.92,226.284,1.0,164.231,228.236,1.0,,,0.0,,,0.0,164.853,229.353,1.0
