scorer,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000,DLC_dlcrnetms5_SLEAP_testMay4shuffle1_200000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4
bodyparts,left_knee,left_knee,left_knee,Tail_tip,Tail_tip,Tail_tip,nose,nose,nose,center,center,center,left_ear,left_ear,left_ear,skull_base,skull_base,skull_base,tail_base,tail_base,tail_base,right_knee,right_knee,right_knee,right_ear,right_ear,right_ear,left_knee,left_knee,left_knee,Tail_tip,Tail_tip,Tail_tip,nose,nose,nose,center,center,center,left_ear,left_ear,left_ear,skull_base,skull_base,skull_base,tail_base,tail_base,tail_base,right_knee,right_knee,right_knee,right_ear,right_ear,right_ear,left_knee,left_knee,left_knee,Tail_tip,Tail_tip,Tail_tip,nose,nose,nose,center,center,center,left_ear,left_ear,left_ear,skull_base,skull_base,skull_base,tail_base,tail_base,tail_base,right_knee,right_knee,right_knee,right_ear,right_ear,right_ear,left_knee,left_knee,left_knee,Tail_tip,Tail_tip,Tail_tip,nose,nose,nose,center,center,center,left_ear,left_ear,left_ear,skull_base,skull_base,skull_base,tail_base,tail_base,tail_base,right_knee,right_knee,right_knee,right_ear,right_ear,right_ear
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,162.759,229.168,1.0,127.816,250.708,0.9819999933242798,171.331,243.325,0.9990000128746033,167.41,220.064,1.0,164.14,247.084,1.0,162.721,246.427,1.0,143.119,219.585,1.0,135.015,230.11,1.0,172.761,237.758,1.0,689.052,172.507,1.0,644.794,203.148,1.0,,,0.0,691.977,182.296,1.0,715.333,176.838,1.0,713.599,181.84,1.0,680.829,185.651,1.0,691.238,188.646,1.0,715.356,183.761,1.0,413.006,437.281,1.0,407.425,377.037,1.0,387.17,460.461,1.0,402.673,433.835,1.0,393.76,454.405,1.0,389.442,457.384,1.0,,,0.0,393.95,432.046,1.0,380.878,457.172,1.0,,,0.0,191.544,145.686,1.0,,,0.0,,,0.0,,,0.0,,,0.0,178.867,186.831,1.0,168.728,212.904,1.0,,,0.0
1,163.15,228.922,1.0,127.491,250.52,0.8309999704360962,166.706,266.506,1.0,166.762,219.271,1.0,164.0,246.524,1.0,162.521,245.642,1.0,143.195,220.257,1.0,135.427,229.929,1.0,172.528,237.357,1.0,689.046,172.51,1.0,644.91,203.204,1.0,,,0.0,691.972,182.295,1.0,715.324,176.838,1.0,713.601,181.835,1.0,680.825,185.692,1.0,691.221,188.651,1.0,715.358,183.755,1.0,412.372,437.473,1.0,408.576,377.356,1.0,382.181,459.63,1.0,402.391,434.758,1.0,391.026,456.079,1.0,388.51,457.397,1.0,404.469,419.703,1.0,393.878,432.382,1.0,381.033,456.07,1.0,,,0.0,191.491,145.439,1.0,,,0.0,,,0.0,,,0.0,,,0.0,178.25,186.923,1.0,168.234,211.987,1.0,,,0.0
2,163.138,228.439,1.0,189.673,141.532,1.0,166.767,266.593,1.0,166.627,217.979,1.0,164.384,247.075,1.0,162.785,245.535,1.0,175.951,190.591,1.0,165.065,209.139,1.0,162.197,256.517,1.0,689.063,172.485,1.0,645.084,203.005,1.0,,,0.0,692.007,182.288,1.0,715.323,176.827,1.0,713.591,181.814,1.0,680.831,185.679,1.0,691.261,188.614,1.0,715.337,183.766,1.0,412.832,436.571,1.0,409.687,377.784,1.0,379.258,460.252,1.0,402.811,433.017,1.0,390.638,456.453,1.0,390.771,454.179,1.0,404.67,420.033,1.0,393.052,431.229,1.0,383.67,455.034,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,162.782,228.773,1.0,186.302,142.731,1.0,166.517,267.557,1.0,165.85,217.276,1.0,172.317,237.168,1.0,164.087,244.517,1.0,175.824,190.249,1.0,163.355,207.875,1.0,172.619,237.178,1.0,688.953,172.477,1.0,645.044,203.12,1.0,,,0.0,691.921,182.28,1.0,715.305,176.829,1.0,713.568,181.809,1.0,680.847,185.71,1.0,691.235,188.564,1.0,715.327,183.766,1.0,412.656,435.764,1.0,411.423,378.46,1.0,385.829,456.686,1.0,403.086,432.399,1.0,390.155,456.262,1.0,391.257,453.379,1.0,404.746,419.863,1.0,394.205,430.147,1.0,383.912,453.449,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,164.698,219.982,0.9990000128746033,186.266,143.516,1.0,166.31,268.427,1.0,165.684,216.553,1.0,164.476,244.335,1.0,164.06,242.319,1.0,175.518,190.731,1.0,163.117,208.422,1.0,165.969,244.194,0.9980000257492065,688.804,172.454,1.0,645.133,202.752,1.0,,,0.0,691.822,182.286,1.0,715.295,176.829,1.0,713.544,181.808,1.0,680.908,185.567,1.0,691.222,188.512,1.0,715.313,183.774,1.0,412.485,435.848,1.0,413.443,378.3,1.0,376.085,456.303,1.0,403.781,432.795,1.0,390.749,454.391,1.0,389.646,453.651,1.0,405.029,420.028,1.0,395.094,429.662,1.0,383.138,451.908,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,164.472,220.151,0.9990000128746033,185.611,143.777,1.0,166.332,268.739,1.0,165.639,216.845,1.0,164.711,244.97,1.0,164.106,242.949,1.0,175.456,190.69,1.0,162.776,207.597,1.0,172.849,237.963,1.0,688.804,172.45,1.0,645.113,202.773,1.0,,,0.0,691.82,182.281,1.0,715.298,176.828,1.0,713.542,181.809,1.0,680.926,185.555,1.0,691.248,188.524,1.0,715.316,183.774,1.0,410.992,433.782,1.0,412.886,375.506,1.0,374.966,454.439,1.0,404.977,432.509,1.0,387.976,456.639,1.0,389.03,450.191,1.0,407.504,419.725,1.0,397.37,427.756,1.0,383.758,448.978,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,163.84,220.43,0.9990000128746033,185.684,143.321,1.0,165.57,268.367,1.0,165.474,216.141,1.0,163.966,243.66,1.0,164.034,240.868,1.0,175.425,190.986,1.0,162.598,208.038,1.0,171.537,238.334,1.0,688.895,172.556,1.0,645.121,202.842,1.0,,,0.0,691.853,182.32,1.0,715.297,176.811,1.0,713.546,181.8,1.0,675.109,183.876,1.0,691.28,188.537,1.0,715.314,183.762,1.0,411.168,433.853,1.0,413.694,378.316,1.0,375.887,453.424,1.0,406.228,432.181,1.0,389.409,456.375,1.0,390.413,448.853,1.0,408.967,419.65,1.0,399.741,427.17,1.0,382.775,452.249,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,163.729,219.381,0.9990000128746033,185.08,142.97,1.0,171.07,241.537,0.9990000128746033,155.23,219.34,0.9990000128746033,163.584,243.964,1.0,163.491,240.665,1.0,175.821,191.876,1.0,156.613,207.871,1.0,166.431,241.864,1.0,688.895,172.5,1.0,645.136,202.762,1.0,,,0.0,691.879,182.296,1.0,715.312,176.822,1.0,713.554,181.802,1.0,680.946,185.5,1.0,691.286,188.524,1.0,715.328,183.77,1.0,411.038,433.973,1.0,413.633,378.214,1.0,376.217,456.342,1.0,406.3,432.151,1.0,387.962,454.268,1.0,388.273,446.217,1.0,410.196,421.162,1.0,401.016,426.657,1.0,380.997,451.036,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
